area,count,Zip_FSA
AB-CAL,110,"T1, T2, T3, T4"
AB-EDM,150,"T0, T5, T6, T7, T8, T9"
AK-ALL,5,"995, 996, 997, 998, 999"
AL-BIR,6,"350, 351, 352, 354, 355, 362"
AL-DOT,1,"363"
AL-HUN,4,"356, 357, 358, 359"
AL-MOB,4,"364, 365, 366, 367"
AL-MON,2,"360, 361"
AR-FAY,1,"727"
AR-FTS,2,"729, 749"
AR-JON,1,"724"
AR-LIT,8,"716, 717, 719, 720, 721, 722, 725, 728"
AZ-FLA,1,"860"
AZ-PHO,10,"850, 851, 852, 853, 855, 859, 863, 865, 873, 878"
AZ-TUC,2,"856, 857"
BC-KOT,13,"V0"
BC-OKN,30,"V1"
BC-PG,,
BC-VAN,142,"V3, V4, V5, V6, V7"
BC-VIS,48,"V8, V9"
CA-CLX,1,"922"
CA-FRE,6,"932, 933, 934, 936, 937, 938"
CA-LOS,27,"900, 901, 902, 903, 904, 905, 906, 907, 908, 910, 911, 912, 913, 914, 915, 916, 917, 918, 923, 924, 925, 926, 927, 928, 930, 931, 935"
CA-RED,2,"960, 976"
CA-SAC,5,"942, 956, 957, 958, 959"
CA-SAN,3,"919, 920, 921"
CA-SF,16,"939, 940, 941, 943, 944, 945, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955"
CO-CS,2,"808, 809"
CO-DEN,14,"800, 801, 802, 803, 804, 805, 806, 807, 811, 812, 814, 815, 816, 820"
CO-PUE,1,"810"
CT-HAR,13,"10, 11, 13, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69"
FL-GAI,1,"326"
FL-JAC,2,"320, 322"
FL-MIA,6,"330, 331, 332, 333, 334, 349"
FL-ORL,7,"321, 327, 328, 329, 338, 344, 347"
FL-PC,1,"324"
FL-PEN,1,"325"
FL-SAR,3,"339, 341, 342"
FL-TAL,1,"323"
FL-TAM,4,"335, 336, 337, 346"
GA-ALB,3,"316, 317, 398"
GA-ATL,9,"300, 301, 302, 303, 305, 306, 307, 311, 399"
GA-AUG,3,"298, 308, 309"
GA-COL,3,"318, 319, 368"
GA-MAC,2,"310, 312"
GA-SAV,5,"299, 304, 313, 314, 315"
HI-ALL,2,"967, 968"
IA-CED,3,"522, 523, 524"
IA-DAV,4,"520, 527, 528, 612"
